,13391_bright_pixels,13391_bright_columns,13391_dark_pixels,13391_dark_columns,13401_bright_pixels,13401_bright_columns,13401_dark_pixels,13401_dark_columns,13505_bright_pixels,13505_bright_columns,13505_dark_pixels,13505_dark_columns,13550_bright_pixels,13550_bright_columns,13550_dark_pixels,13550_dark_columns,DetectorNumber,Manufacturer,Raft
R22_S11,26.0,0.0,29880.0,20.0,16.0,0.0,29688.0,20.0,22.0,0.0,29531.0,20.0,23.0,0.0,29469.0,20.0,94,E2V,R22
R22_S12,13.0,0.0,28819.0,20.0,8.0,0.0,28790.0,20.0,10.0,0.0,28710.0,20.0,10.0,0.0,28688.0,20.0,95,E2V,R22
R22_S20,18.0,0.0,27687.0,20.0,13.0,0.0,27637.0,20.0,16.0,0.0,27652.0,20.0,16.0,0.0,27706.0,20.0,96,E2V,R22
R22_S21,8.0,0.0,27054.0,20.0,6.0,0.0,26977.0,20.0,8.0,0.0,27057.0,20.0,8.0,0.0,27080.0,20.0,97,E2V,R22
R22_S22,11.0,0.0,26994.0,20.0,6.0,0.0,27025.0,20.0,9.0,0.0,26930.0,20.0,9.0,0.0,26992.0,20.0,98,E2V,R22
R23_S00,9.0,0.0,29085.0,20.0,2.0,0.0,29087.0,20.0,4.0,0.0,28770.0,20.0,4.0,0.0,28755.0,20.0,99,E2V,R23
R23_S01,3.0,0.0,28801.0,20.0,1.0,0.0,28839.0,20.0,1.0,0.0,28575.0,20.0,1.0,0.0,28585.0,20.0,100,E2V,R23
R23_S02,34.0,0.0,25574.0,20.0,30.0,0.0,25619.0,20.0,35.0,0.0,25504.0,20.0,35.0,0.0,25510.0,20.0,101,E2V,R23
R23_S10,4034.0,11.0,28080.0,23.0,4112.0,11.0,29117.0,23.0,4142.0,11.0,28699.0,23.0,4148.0,11.0,28643.0,23.0,102,E2V,R23
R23_S11,11.0,0.0,26407.0,20.0,5.0,0.0,26390.0,20.0,8.0,0.0,26396.0,20.0,8.0,0.0,26453.0,20.0,103,E2V,R23
R23_S12,1.0,0.0,27292.0,20.0,1.0,0.0,27287.0,20.0,1.0,0.0,27141.0,20.0,1.0,0.0,27198.0,20.0,104,E2V,R23
R23_S20,1.0,0.0,26988.0,23.0,1.0,0.0,27099.0,23.0,1.0,0.0,27015.0,23.0,1.0,0.0,27042.0,23.0,105,E2V,R23
R23_S21,11.0,0.0,27553.0,20.0,8.0,0.0,27481.0,20.0,10.0,0.0,27464.0,20.0,10.0,0.0,27478.0,20.0,106,E2V,R23
R23_S22,21.0,0.0,27061.0,20.0,12.0,0.0,27190.0,20.0,16.0,0.0,27105.0,20.0,16.0,0.0,27113.0,20.0,107,E2V,R23
R24_S00,53.0,9.0,27715.0,20.0,90.0,7.0,27649.0,20.0,39.0,9.0,27470.0,20.0,39.0,9.0,27462.0,20.0,108,E2V,R24
R24_S01,11.0,0.0,28741.0,20.0,6.0,0.0,28541.0,20.0,7.0,0.0,28582.0,20.0,7.0,0.0,28581.0,20.0,109,E2V,R24
R24_S02,2.0,0.0,26332.0,20.0,0.0,0.0,26396.0,20.0,1.0,0.0,26661.0,20.0,1.0,0.0,26639.0,20.0,110,E2V,R24
R24_S10,3.0,0.0,27163.0,20.0,0.0,0.0,27146.0,20.0,0.0,0.0,27101.0,20.0,0.0,0.0,27110.0,20.0,111,E2V,R24
R24_S11,8.0,0.0,29054.0,20.0,5.0,0.0,29109.0,20.0,6.0,0.0,29045.0,20.0,6.0,0.0,29073.0,20.0,112,E2V,R24
R24_S12,1.0,0.0,26289.0,20.0,0.0,0.0,26306.0,20.0,1.0,0.0,26571.0,20.0,1.0,0.0,26559.0,20.0,113,E2V,R24
R24_S20,13.0,0.0,28614.0,22.0,10.0,0.0,28774.0,22.0,12.0,0.0,28709.0,22.0,12.0,0.0,28727.0,22.0,114,E2V,R24
R24_S21,9.0,0.0,28259.0,20.0,3.0,0.0,28343.0,20.0,6.0,0.0,28866.0,20.0,6.0,0.0,28869.0,20.0,115,E2V,R24
R24_S22,49.0,5.0,27243.0,20.0,28.0,5.0,27258.0,20.0,36.0,5.0,26834.0,20.0,36.0,5.0,26854.0,20.0,116,E2V,R24
R30_S00,26.0,3.0,26008.0,529.0,20.0,3.0,29853.0,17.0,23.0,3.0,27862.0,17.0,23.0,3.0,27716.0,17.0,117,E2V,R30
R30_S01,24.0,0.0,29288.0,20.0,15.0,0.0,29177.0,20.0,19.0,0.0,29325.0,20.0,19.0,0.0,29272.0,20.0,118,E2V,R30
R30_S02,1531.0,8.0,28312.0,20.0,563.0,8.0,28287.0,20.0,1515.0,8.0,28118.0,20.0,1515.0,8.0,28044.0,20.0,119,E2V,R30
R30_S10,4205.0,20.0,27242.0,22.0,3783.0,18.0,27694.0,21.0,3804.0,18.0,27599.0,22.0,3812.0,18.0,27924.0,20.0,120,E2V,R30
R30_S11,0.0,0.0,27954.0,20.0,0.0,0.0,27755.0,20.0,0.0,0.0,27660.0,20.0,0.0,0.0,27641.0,20.0,121,E2V,R30
R30_S12,14.0,3.0,27966.0,20.0,24.0,2.0,27922.0,20.0,21.0,2.0,27729.0,20.0,21.0,2.0,27685.0,20.0,122,E2V,R30
R30_S20,1434.0,3.0,29926.0,322.0,1445.0,3.0,29937.0,322.0,1450.0,3.0,29769.0,382.0,1453.0,3.0,29614.0,383.0,123,E2V,R30
R30_S21,7.0,0.0,26648.0,20.0,3.0,0.0,26565.0,20.0,5.0,0.0,26192.0,20.0,5.0,0.0,26200.0,20.0,124,E2V,R30
R30_S22,9.0,0.0,30386.0,20.0,5.0,0.0,30542.0,20.0,8.0,0.0,30154.0,20.0,8.0,0.0,30154.0,20.0,125,E2V,R30
R31_S00,36.0,0.0,25420.0,20.0,23.0,0.0,25405.0,20.0,35.0,0.0,25294.0,20.0,35.0,0.0,25287.0,20.0,126,E2V,R31
R31_S01,1434.0,4.0,25469.0,21.0,559.0,3.0,25443.0,21.0,1449.0,3.0,25336.0,21.0,1449.0,3.0,25305.0,21.0,127,E2V,R31
R31_S02,26.0,0.0,26263.0,21.0,18.0,0.0,26250.0,21.0,26.0,0.0,26221.0,21.0,26.0,0.0,26185.0,21.0,128,E2V,R31
R31_S10,7.0,0.0,25781.0,20.0,2.0,0.0,25717.0,20.0,7.0,0.0,25617.0,20.0,7.0,0.0,25602.0,20.0,129,E2V,R31
R31_S11,42.0,0.0,26982.0,20.0,27.0,0.0,26970.0,20.0,50.0,0.0,26797.0,20.0,51.0,0.0,26741.0,20.0,130,E2V,R31
R31_S12,23.0,4.0,29378.0,20.0,18.0,4.0,29309.0,20.0,27.0,4.0,29335.0,20.0,27.0,4.0,29297.0,20.0,131,E2V,R31
R31_S20,11.0,0.0,26370.0,21.0,7.0,0.0,26312.0,21.0,10.0,0.0,26163.0,21.0,10.0,0.0,26150.0,21.0,132,E2V,R31
R31_S21,6.0,0.0,26363.0,20.0,4.0,0.0,26267.0,20.0,5.0,0.0,26156.0,20.0,5.0,0.0,26135.0,20.0,133,E2V,R31
R31_S22,20.0,0.0,28950.0,21.0,12.0,0.0,28926.0,21.0,18.0,0.0,28694.0,21.0,18.0,0.0,28619.0,21.0,134,E2V,R31
R32_S00,6.0,0.0,30449.0,20.0,3.0,0.0,30354.0,20.0,7.0,0.0,30319.0,20.0,6.0,0.0,30299.0,20.0,135,E2V,R32
R32_S01,8.0,0.0,27371.0,20.0,5.0,0.0,27290.0,20.0,8.0,0.0,26935.0,20.0,8.0,0.0,26916.0,20.0,136,E2V,R32
R32_S02,0.0,0.0,27152.0,20.0,0.0,0.0,27035.0,20.0,2.0,0.0,26818.0,20.0,2.0,0.0,26792.0,20.0,137,E2V,R32
R32_S10,47.0,4.0,25767.0,20.0,42.0,4.0,25625.0,20.0,47.0,4.0,25554.0,20.0,47.0,4.0,25564.0,20.0,138,E2V,R32
R32_S11,9.0,0.0,26878.0,21.0,8.0,0.0,26650.0,21.0,10.0,0.0,26485.0,21.0,10.0,0.0,26531.0,21.0,139,E2V,R32
R32_S12,19.0,0.0,26416.0,20.0,16.0,0.0,26281.0,21.0,21.0,0.0,26234.0,21.0,21.0,0.0,26295.0,21.0,140,E2V,R32
R32_S20,20.0,0.0,26052.0,20.0,16.0,0.0,25917.0,20.0,30.0,0.0,25745.0,20.0,30.0,0.0,25789.0,20.0,141,E2V,R32
R32_S21,1.0,0.0,26569.0,20.0,0.0,0.0,26421.0,20.0,1.0,0.0,25697.0,20.0,1.0,0.0,25724.0,20.0,142,E2V,R32
R32_S22,27.0,1.0,25380.0,20.0,24.0,1.0,25330.0,20.0,31.0,1.0,25277.0,20.0,31.0,1.0,25283.0,20.0,143,E2V,R32
R33_S00,20.0,0.0,26856.0,20.0,6.0,0.0,26942.0,20.0,11.0,0.0,26551.0,20.0,11.0,0.0,26519.0,20.0,144,E2V,R33
R33_S01,20.0,0.0,24929.0,24.0,10.0,0.0,25012.0,24.0,15.0,0.0,24939.0,24.0,16.0,0.0,24914.0,24.0,145,E2V,R33
R33_S02,36.0,0.0,26601.0,20.0,19.0,0.0,26804.0,20.0,36.0,0.0,26299.0,20.0,36.0,0.0,26267.0,20.0,146,E2V,R33
